Mouse_ID,ASP,SYP,MM,TM,,total IgG(ng/ml),IgG1(ng/ml),IgG2a(ng/ml),total IgE(ng/ml),MCPT-1(pg/ml),IL-4 (pg/ml),IL-5 (pg/ml),IL-10 (pg/ml),IL-13 (pg/ml),IFN-g (pg/ml),% eosinophils spleen,% CD8+ spleen,% CD4+ spleen,% Foxp3+ in CD4+ (Treg) spleen,% T-bet+ in CD4+Foxp3- (Th1) spleen,% Th1 poliferation spleen,% GATA-3+ in CD4+Foxp3- (Th2) spleen,% IL-13+ in CD4+ spleen,% IFN-g+ in CD4+ spleen,% IL-10+ in CD4+ spleen,% IL-10+ in non-Tcells spleen,%IFN-g+ in IL-10+ spleen,%IFN-g+IL-10+ in CD4+ spleen,%IFN-g-IL-10+ in CD4+ spleen,%Ki-67 in Foxp3+ spleen,%Ki-67 in T-bet+ spleen,%Ki-67 in GATA-3+ spleen,CD4+ proliferation (=Ki67+) spleen,CD8+ prol. (=Ki67+) spleen,CD4-CD8- proliferation (=Ki67+) spleen,% CD8+ mLN,% CD4+ mLN,% Foxp3+ in CD4+ (Treg) mLN,% T-bet+ in CD4+Foxp3- (Th1) mLN,% GATA-3+ in CD4+Foxp3- (Th2) mLN,% IL-13+ in CD4+ mLN,% IFN-g+ in CD4+ mLN,% IL-10+ in CD4+ mLN,%IFN-g+ in IL-10+ mLN,%IFN-g+IL-10+ in CD4+ mLN,%IFN-g-IL-10+ in CD4+ mLN,%Ki-67 in Foxp3+ mLN,%Ki-67 in T-bet+ mLN,%Ki-67 in GATA-3+ mLN,CD4+ prol histo mLN,CD8+ prol histo mLN,CD4-CD8- prol histo mLN
AA_0681,0,0,0,11,,976700,1790803,258930,0,0,,,,,,0.8,7.1,17.42,8.885,16.91,28.3,4.069,,,,,,,,22.2,37.5,33.6,12.6,9.8,12.3,10.96,19.79,6.94,9.56,3.39,,,,,,,28.9,31.2,29.4,11.7,8.5,17
AA_0682,0,0,0,3,,1369600,2142525,483270,9306,0,,,,,,0.6,5.28,17.59,5.928,9.787,19.1,4.1,1.28,19.56,4.13,1.9,52.78450363,2.18,1.95,14.2,17.6,25,6,4.6,6,14.37,26.16,6.83,8.29,3.99,1.15,3.92,0.36,66.66666667,0.24,0.12,25.4,42.8,25.1,9.5,7,16.5
AA_0683,0,3,0,2,,508300,2306840,125090,3947.5,0,,,,,,2.1,8.74,21.23,14.209,15.884,20,6.66,1.08,12.14,1.41,0.3,44.68085106,0.63,0.78,23.1,23.2,23.3,12.2,4.9,19.6,17.14,32.59,10.68,8.98,3.83,3.17,3.52,0.47,38.29787234,0.18,0.29,26.6,35.5,17.8,9.8,4.9,11.2
AA_0684,0,0,0,7,,1110100,10771700,199420,1262,0,,,,,,1.3,9.27,22.66,7.346,22.953,12,3.912,1.09,23.69,4.38,1.4,58.67579909,2.57,1.81,10.3,12.2,26.1,5.9,4.5,9.2,23.62,27.01,4.98,7.11,2.06,0.29,3.94,0.86,89.53488372,0.77,0.09,21.4,26.3,22.4,5.4,4.4,6.1
AA_0685,0,0,0,0,,96200,1055905,6250,5100,0,,,,,,1.5,8.95,12.58,9.329,25.042,34.9,2.646,4.48,26.25,5.42,1.3,81.5498155,4.42,1,26.7,47,42.2,23.8,25.8,16.3,22.65,25.48,4.68,3.07,4.29,0.57,1.58,1.55,9.677419355,0.15,1.4,0,0,25,1.2,8.2,13.1
AA_0686,0,0,0,0,,20000,201805,1860,4534,0,,,,,,0.2,13.27,23.13,8.939,2.242,28.1,4.925,,,,,,,,28.6,35.4,23.6,11.1,10.2,19.8,20.22,42.5,5.6,2.56,3.34,0.36,0.45,0.07,0,0,0.07,30.3,42.9,31.7,8.1,7.9,13.8
AA_0687,0,0,0,7,,,,,,,,,,,,0.8,6.49,16.06,6.371,9.936,28.1,3.071,0.91,8.22,1.12,1.3,27.67857143,0.31,0.81,16.2,26.1,36.1,8.1,7.4,13.2,17.04,40.31,4.97,2.77,4.29,0.41,0.71,0.13,23.07692308,0.03,0.1,20.5,36.5,26.7,7.5,6.2,13.3
AA_0688,0,0,0,0,,1021500,2727900,269250,20680.5,38761.45,,,,,,3.9,13.34,25.33,7.293,6.65,19.3,2.751,0.46,10.12,2.15,3.6,47.44186047,1.02,1.13,15.7,24.2,45.7,7.9,5.9,15.9,20.58,34.58,7.92,4.4,2.59,0.27,0.94,0.06,33.33333333,0.02,0.04,17.9,32.5,31.6,6.7,4.1,9.8
AA_0689,0,19,0,2,,678900,0,258930,9421,0,,,,,,0.9,13.06,18.67,11.624,24.68,27.3,2.203,,,,,,,,20.6,34.7,29.3,16.2,13.4,19.1,25.58,26.87,7.72,8.05,1.63,1.33,1.64,0.19,42.10526316,0.08,0.11,20.1,34.2,36.8,7.5,6.1,8.6
AA_0690,0,0,0,0,,,,,,,,,,,,0.8,14.36,20.6,11.649,28.88,25,2.704,1.91,17.43,3.81,1.6,34.64566929,1.32,2.49,18.2,30.7,32.4,14.6,12.4,13.5,19.8,35.18,6.82,6.1,2.66,0.72,1.26,0.23,69.56521739,0.16,0.07,24.7,47.9,29.3,9.1,7.4,15.2
